10/06/2014 17:04:08,007 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,008 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,008 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,008 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,008 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,008 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,009 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,009 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,009 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,009 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,014 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,014 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,014 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,015 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,015 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,015 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,015 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,015 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,015 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,015 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,015 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,015 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,015 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
10/06/2014 17:04:08,015 DEBUG [default] [chengtai@unknown-host] [void ConvLayer::setfilter(const MatType &, int, int)] [/Users/chengtai/Documents/2014/MOTR/modules/beta/beta/layer.cpp:187] index out of range, filter not assigned
